B.1.arg,B.1.vd,value,se,x,z,,,
0.555555556,3.7865,-9.280571037,2.843549623,2.103611111,0.055477845,,,
0.666666667,3.7865,-11.8489535,3.736505884,2.524333333,-0.253655091,,,
0.777777778,3.7865,-14.69675764,4.7805122,2.945055556,-0.596419483,,,
0.888888889,3.7865,-17.82398393,5.976837293,3.365777778,-0.97281539,,,
1,3.7865,-21.23063222,7.326687577,3.7865,-1.382842791,,,
0,3.8424,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,3.8424,-1.844703424,0.865763202,0.426933333,0.950465884,,,
0.222222222,3.8424,-3.334797207,1.102116767,0.853866667,0.771116791,,,
0.333333333,3.8424,-5.100242324,1.543797235,1.2808,0.558626152,,,
0.444444444,3.8424,-7.141043238,2.149429585,1.707733333,0.312993429,,,
0.555555556,3.8424,-9.457200295,2.904260749,2.134666667,0.034218581,,,
0.666666667,3.8424,-12.0487134,3.805586493,2.5616,-0.277698381,,,
0.777777778,3.8424,-14.91558308,4.854244299,2.988533333,-0.62275752,,,
